feature,median
Valid_SMILES,1.0
nBase,2.0
SpAbs_A,53.00079164559872
SpMax_A,2.532449075610347
SpDiam_A,5.022781324947256
SpAD_A,53.00079164559872
SpMAD_A,1.325117505931531
LogEE_A,4.637947706133232
VE1_A,4.6233314706443736
VE2_A,0.118882162163426
VE3_A,2.942787631685955
VR1_A,1743.8431538963475
VR2_A,45.02530388066165
VR3_A,8.855564426400827
nAromAtom,22.0
nAromBond,23.0
nAtom,74.0
nHeavyAtom,40.0
nSpiro,0.0
nHetero,9.0
nH,33.0
nC,31.0
nN,6.0
nO,2.0
nS,0.0
nF,0.0
nX,0.0
ATS0dv,530.0
ATS1dv,554.0
ATS2dv,788.0
ATS3dv,838.0
ATS4dv,799.0
ATS5dv,764.0
ATS6dv,712.0
ATS7dv,671.0
ATS8dv,588.0
ATS0d,250.0
ATS1d,319.0
ATS2d,517.0
ATS3d,585.0
ATS4d,586.0
ATS5d,565.0
ATS6d,537.0
ATS7d,510.0
ATS8d,483.0
ATS0s,257.2222222222222
ATS1s,237.0555555555555
ATS2s,394.2716049382713
ATS3s,502.1111111111108
ATS4s,526.4166666666666
ATS5s,530.7777777777776
ATS6s,512.0555555555555
ATS7s,497.8333333333335
ATS8s,464.8888888888891
ATS0Z,1732.0
ATS1Z,2012.0
ATS2Z,2943.0
ATS3Z,3297.0
ATS4Z,3274.0
ATS5Z,3164.0
ATS6Z,2979.0
ATS7Z,2848.0
ATS8Z,2715.0
ATS0m,6858.14273
ATS1m,7639.041511000009
ATS2m,10950.77818200001
ATS3m,12044.43442400001
ATS4m,11760.735931
ATS5m,11405.16948000001
ATS6m,10702.986774
ATS7m,10236.9000175536
ATS8m,9687.179285999997
ATS0v,16583.6955089418
ATS1v,21038.00469717332
ATS2v,31284.2138668966
ATS3v,35978.06227308459
ATS4v,35883.68765881087
ATS5v,34703.12095470793
ATS6v,33202.82207759588
ATS7v,31714.6766997383
ATS8v,29902.20649908053
ATS0se,560.1961245
ATS1se,602.7428769999995
ATS2se,1049.1699679999997
ATS3se,1350.4939639999989
ATS4se,1495.72946
ATS5se,1459.572022
ATS6se,1399.3548919999994
ATS7se,1342.0737999999994
ATS8se,1295.704076
ATS0pe,458.4068
ATS1pe,511.5907000000003
ATS2pe,871.4951999999992
ATS3pe,1117.266
ATS4pe,1227.6757
ATS5pe,1201.2469
ATS6pe,1150.5812
ATS7pe,1095.5271
ATS8pe,1059.6788
ATS0are,451.3145
ATS1are,498.7499999999999
ATS2are,857.6000000000001
ATS3are,1099.8858
ATS4are,1207.682699999999
ATS5are,1182.086
ATS6are,1134.4599
ATS7are,1081.9979
ATS8are,1043.620799999999
ATS0p,114.928943526074
ATS1p,144.9816677500002
ATS2p,220.3226196090941
ATS3p,261.854538718829
ATS4p,264.992638837168
ATS5p,256.7628326929233
ATS6p,247.242190749111
ATS7p,235.4374794751851
ATS8p,224.2301645866782
ATS0i,12002.99077305597
ATS1i,11662.96390969942
ATS2i,21346.64118939492
ATS3i,28226.29768068596
ATS4i,32122.53134419747
ATS5i,31305.26163362218
ATS6i,29879.87988030796
ATS7i,28557.06204034186
ATS8i,27801.29825026463
AATS0dv,7.220230983671844
AATS1dv,7.152941176470589
AATS2dv,5.902654867256637
AATS3dv,4.802469135802469
AATS4dv,4.218978102189781
AATS5dv,4.132730015082957
AATS6dv,4.028571428571428
AATS7dv,3.867724867724867
AATS8dv,3.499014916971574
